dataset,threshold,count,precision,recall,f1
large_products20cc80rnd100un_LinearSVC_3,0.975,2,1.0,1.0,1.0
large_products80cc20rnd000un_LogisticRegression_3,0.995,110,0.6636363636363637,1.0,0.7978142076502732
large_products50cc50rnd100un_LogisticRegression_1,0.995,63,0.4603174603174603,1.0,0.6304347826086957
small_products20cc80rnd000un_NaiveBayes_1,0.06,143,0.3986013986013986,1.0,0.57
small_products80cc20rnd100un_RandomForest_1,0.51,180,0.21666666666666667,1.0,0.3561643835616438
large_products80cc20rnd050un_DecisionTree_1,0.975,18,0.8333333333333334,1.0,0.9090909090909091
medium_products50cc50rnd100un_DecisionTree_2,0.9500000000000001,78,0.2564102564102564,1.0,0.40816326530612246
small_products50cc50rnd000un_NaiveBayes_2,0.005,274,0.2846715328467153,1.0,0.4431818181818182
medium_products50cc50rnd050un_NaiveBayes_3,0.05,453,0.2980132450331126,1.0,0.45918367346938777
small_products50cc50rnd050un_LogisticRegression_2,0.935,153,0.46405228758169936,1.0,0.6339285714285714
small_products80cc20rnd000un_DecisionTree_2,0.0,4474,0.0773357174787662,1.0,0.14356846473029045
small_products20cc80rnd050un_NaiveBayes_3,1.0,61,0.32786885245901637,1.0,0.49382716049382713
large_products20cc80rnd100un_LogisticRegression_3,0.995,55,0.6545454545454545,1.0,0.7912087912087912
medium_products80cc20rnd000un_XGBoost_3,0.865,25,0.6,1.0,0.75
medium_products80cc20rnd050un_NaiveBayes_2,1.0,24,0.2916666666666667,1.0,0.45161290322580644
large_products80cc20rnd000un_NaiveBayes_1,0.995,159,0.5283018867924528,1.0,0.691358024691358
small_products20cc80rnd050un_DecisionTree_2,0.88,43,0.3023255813953488,1.0,0.4642857142857143
large_products20cc80rnd050un_DecisionTree_3,0.995,11,0.8181818181818182,1.0,0.9
small_products80cc20rnd100un_RandomForest_2,0.505,135,0.1925925925925926,1.0,0.32298136645962733
large_products20cc80rnd100un_LinearSVC_2,0.975,2,1.0,1.0,1.0
