model,language,cc,size,un,seed,precision,recall,f1,n_pairs,n_unmatched
hiergat,de,50cc50rnd,medium,050un,2,40.76086956521739,86.70520231213872,55.45286506469501,4418,48
hiergat,de,50cc50rnd,medium,100un,0,38.53427895981088,88.34688346883469,53.66255144032922,4458,21
hiergat,de,50cc50rnd,medium,100un,1,32.97029702970297,90.2439024390244,48.295866569978244,4458,21
hiergat,de,50cc50rnd,medium,100un,2,32.555673382820785,83.19783197831978,46.79878048780488,4458,21
hiergat,de,50cc50rnd,small,000un,0,17.193426042983564,37.362637362637365,23.54978354978355,4427,43
hiergat,de,50cc50rnd,small,000un,1,27.577319587628867,58.791208791208796,37.54385964912281,4427,43
hiergat,de,50cc50rnd,small,000un,2,25.706472196900638,77.47252747252747,38.60369609856263,4427,43
hiergat,de,50cc50rnd,small,050un,0,14.09749670619236,30.924855491329478,19.366515837104075,4418,48
hiergat,de,50cc50rnd,small,050un,1,24.760765550239235,59.82658959537572,35.025380710659896,4418,48
hiergat,de,50cc50rnd,small,050un,2,24.978089395267308,82.36994219653178,38.33221250840619,4418,48
hiergat,de,50cc50rnd,small,100un,0,13.237063778580024,29.81029810298103,18.333333333333332,4458,21
hiergat,de,50cc50rnd,small,100un,1,21.44985104270109,58.536585365853654,31.3953488372093,4458,21
hiergat,de,50cc50rnd,small,100un,2,22.826908541194253,81.84281842818429,35.69739952718676,4458,21
hiergat,de,80cc20rnd,large,000un,0,50.76400679117148,87.42690058479532,64.23200859291084,4440,34
hiergat,de,80cc20rnd,large,000un,1,50.08291873963516,88.30409356725146,63.91534391534391,4440,34
hiergat,de,80cc20rnd,large,000un,2,52.04778156996587,89.18128654970761,65.73275862068965,4440,34
hiergat,de,80cc20rnd,large,050un,0,41.21447028423773,88.36565096952909,56.21145374449339,4437,33
hiergat,de,80cc20rnd,large,050un,1,42.168674698795186,87.25761772853186,56.85920577617328,4437,33
hiergat,de,80cc20rnd,large,050un,2,43.203230148048455,88.9196675900277,58.152173913043484,4437,33
hiergat,de,80cc20rnd,large,100un,0,29.68441814595661,86.49425287356321,44.199706314243755,4447,16
