model,classifier,seed,variant,precision,recall,f1,backbone,validation_file,validation_rows,validation_sha256,source_file
magellan,NaiveBayes,1,de_de,0.1708413615928067,0.7368421052631579,0.2773722627737226,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,XGBoost,1,de_de,0.21969189551239116,0.9085872576177285,0.35382955771305286,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,RandomForest,1,de_de,0.2107594936708861,0.9224376731301939,0.34312210200927357,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,DecisionTree,1,de_de,0.20774883099532399,0.8614958448753463,0.33476856835306784,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,LinearSVC,1,de_de,0.2133142448103078,0.8254847645429363,0.3390216154721274,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,LogisticRegression,1,de_de,0.2182628062360802,0.814404432132964,0.3442622950819672,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,NaiveBayes,2,de_de,0.1708413615928067,0.7368421052631579,0.2773722627737226,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,XGBoost,2,de_de,0.22298221614227087,0.9030470914127424,0.35765222161272625,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,RandomForest,2,de_de,0.21035805626598467,0.9113573407202216,0.3418181818181818,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,DecisionTree,2,de_de,0.20136730888750776,0.8975069252077562,0.32893401015228424,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
